time,acc_x,acc_y,acc_z
0.000000000000000000e+00,-8.043333937008867451e-02,-1.549047306975958327e-01,2.347041233825829243e-02
1.000000000000000021e-03,-1.207740525669457471e-01,-2.017202864615880165e-01,-2.927657184216174088e-02
2.000000000000000042e-03,-2.100906350414142587e-01,-2.205223474948183326e-01,-6.542245729001561205e-02
3.000000000000000062e-03,-2.234293914526277736e-01,-2.336659060919204223e-01,-8.449217213084204980e-02
4.000000000000000083e-03,-2.702710190378633248e-01,-2.694897527781518476e-01,-6.754852687657411647e-02
5.000000000000000104e-03,-3.235170351500202823e-01,-2.899251008388376571e-01,-1.555188999190942334e-01
6.000000000000000125e-03,-3.408007810913490365e-01,-2.861387443615535098e-01,-1.590625537459281758e-01
7.000000000000000146e-03,-3.269861134346088161e-01,-2.995256695604717745e-01,-1.703935564765501343e-01
8.000000000000000167e-03,-3.383849758298053678e-01,-2.760735435003339733e-01,-2.046438940701137132e-01
8.999999999999999320e-03,-3.838279670504332053e-01,-2.852992660091702160e-01,-2.121086910912133583e-01
1.000000000000000021e-02,-3.759425547519680277e-01,-2.405482041838782059e-01,-2.286134130178811841e-01
1.099999999999999936e-02,-3.358092871625520948e-01,-2.171991533893216086e-01,-2.360601170279284788e-01
1.200000000000000025e-02,-2.989493201924663945e-01,-1.920212163555700680e-01,-2.080263569541117852e-01
1.299999999999999940e-02,-2.689199376456726798e-01,-1.378857678648439389e-01,-2.133017738976958622e-01
1.400000000000000029e-02,-2.241108938382035398e-01,-9.297331299269256943e-02,-1.763212114394141772e-01
1.499999999999999944e-02,-1.940335657528742819e-01,-7.898319821763151449e-02,-1.815196209269877015e-01
1.600000000000000033e-02,-1.542713076776997538e-01,-1.632802671001857067e-02,-1.438798036855938323e-01
1.700000000000000122e-02,-9.632798220218533047e-02,4.357660920240878644e-02,-1.274656908308561265e-01
1.799999999999999864e-02,-1.020847107327491239e-02,9.845097728190452258e-02,-9.539523077145362073e-02
1.899999999999999953e-02,2.411294295975084309e-02,1.403318547992759568e-01,-5.585620943875418271e-02
2.000000000000000042e-02,9.570450381913506166e-02,1.555541206280935396e-01,-1.505323638615195699e-02
2.100000000000000130e-02,1.462565692373517245e-01,1.912723328762054309e-01,3.212236869921514248e-02
2.199999999999999872e-02,1.933382125706622490e-01,2.261658424477519802e-01,3.571072791639054445e-02
2.299999999999999961e-02,2.479014124158309962e-01,2.711119101442575618e-01,7.059011844054670359e-02
2.400000000000000050e-02,2.796103479767548805e-01,2.660753990716118733e-01,1.058696862836854269e-01
2.500000000000000139e-02,3.131970566622354069e-01,2.739422504086825860e-01,1.496688041993724794e-01
2.599999999999999881e-02,3.614260274533846462e-01,2.881868141137385320e-01,1.655184109509401646e-01
2.699999999999999969e-02,3.427656527466327874e-01,2.974083669119904627e-01,1.581422638465188601e-01
2.800000000000000058e-02,3.583023773148246716e-01,2.747074113702007159e-01,2.034969913106828288e-01
2.900000000000000147e-02,3.714781638926290541e-01,2.558205587825581606e-01,2.037150372961945288e-01
2.999999999999999889e-02,3.239851860867991595e-01,2.093250599782105481e-01,1.980721069062415796e-01
3.099999999999999978e-02,3.368062300562117972e-01,2.081221396849126104e-01,2.022725230185064837e-01
3.200000000000000067e-02,3.281716893851400751e-01,1.578672108093844562e-01,1.955169063789591599e-01
3.300000000000000155e-02,2.471497591032238150e-01,1.343618997388172642e-01,1.891136782845536934e-01
3.400000000000000244e-02,2.215671229422016275e-01,6.457445630859620644e-02,2.129793381661523322e-01
3.500000000000000333e-02,1.702523989587292064e-01,2.422920215319842446e-02,1.654130210170519089e-01
3.599999999999999728e-02,1.223813866708782089e-01,1.035644617971019687e-03,1.284079679052901601e-01
3.699999999999999817e-02,4.905009565080440531e-02,-8.046023285947280501e-02,1.125185881129247417e-01
3.799999999999999906e-02,2.964637367125760870e-02,-9.687334653247711702e-02,7.936413292196785318e-02
3.899999999999999994e-02,-3.502969006843299760e-02,-1.438784999443212531e-01,6.243371401132297160e-02
4.000000000000000083e-02,-9.873422379889894296e-02,-1.867354359565603916e-01,1.614959860042768439e-02
4.100000000000000172e-02,-1.853167230634197304e-01,-2.301239601060083573e-01,-7.582753634150297614e-03
4.200000000000000261e-02,-1.913899059282864468e-01,-2.555387153195572969e-01,-6.295571962568102808e-02
4.299999999999999656e-02,-2.324000425037486828e-01,-2.706609932793326845e-01,-7.691636282364906763e-02
4.399999999999999745e-02,-2.920503708556652089e-01,-2.696642452130856848e-01,-1.169970790700881474e-01
4.499999999999999833e-02,-3.447047426583174645e-01,-2.993936142788289900e-01,-1.356426490086762027e-01
4.599999999999999922e-02,-3.378994540690714032e-01,-3.096341824883411253e-01,-1.662726483888279927e-01
4.700000000000000011e-02,-3.726955936450493945e-01,-2.774587872169103631e-01,-1.984903956052519736e-01
4.800000000000000100e-02,-3.728071495010015224e-01,-2.445956437697426877e-01,-2.000338134469441254e-01
4.900000000000000189e-02,-3.837197565485906403e-01,-2.394089427369797407e-01,-2.115114903528092782e-01
5.000000000000000278e-02,-3.448468803749192291e-01,-2.048461906918499220e-01,-2.098222249818510743e-01
5.099999999999999672e-02,-3.147282902834042106e-01,-1.829644371747300713e-01,-2.134524673823543217e-01
5.199999999999999761e-02,-2.879956399888937146e-01,-1.415061141064394568e-01,-2.041500650185896215e-01
5.299999999999999850e-02,-2.352610541832833302e-01,-9.092220119940608303e-02,-1.996103803505541729e-01
5.399999999999999939e-02,-1.870763391994741676e-01,-3.682893035057006187e-02,-1.887193027833815595e-01
5.500000000000000028e-02,-1.420608520734908953e-01,-4.588920228978648347e-03,-1.620557297913047534e-01
5.600000000000000117e-02,-9.769594069903615730e-02,3.553266176213511207e-02,-1.478779142120842383e-01
5.700000000000000205e-02,-1.537302394700990364e-03,9.977173221279771187e-02,-1.016716031056118519e-01
5.800000000000000294e-02,1.730928102496410298e-02,1.153395836319839746e-01,-7.157768404228509462e-02
5.899999999999999689e-02,9.118239108015246952e-02,2.015320257913632285e-01,-7.110879537453752841e-02
5.999999999999999778e-02,1.151990239741786798e-01,2.194378785225134521e-01,-9.528253039895158774e-03
6.099999999999999867e-02,1.881501728897597425e-01,2.371718806827976533e-01,1.268717604631241710e-02
6.199999999999999956e-02,2.121957999302337694e-01,2.605479440757106913e-01,4.152243741651988340e-02
6.300000000000000044e-02,2.748142612850321131e-01,2.760898163427744079e-01,8.412813390815887526e-02
6.400000000000000133e-02,2.869741802240090012e-01,2.973123309596739650e-01,1.183020150156509770e-01
6.500000000000000222e-02,3.656513864708972883e-01,3.276756188636664180e-01,1.421978579989280622e-01
6.600000000000000311e-02,3.568053821377176194e-01,3.136011584301944821e-01,1.559056922069774198e-01
6.700000000000000400e-02,3.582520111400556706e-01,2.727760387976757017e-01,1.752743382385719695e-01
6.800000000000000488e-02,3.658073035406211870e-01,2.502797016785753836e-01,2.109721650702645890e-01
6.900000000000000577e-02,3.702703458228420175e-01,1.939424019996590920e-01,1.945952517953148109e-01
7.000000000000000666e-02,3.276460151321652914e-01,1.985093366358584299e-01,2.075021481209242125e-01
7.099999999999999367e-02,3.338593038555046077e-01,1.618199279612941577e-01,2.199802386563100842e-01
7.199999999999999456e-02,2.557973824658859585e-01,1.362356258999332381e-01,2.047575995637171131e-01
7.299999999999999545e-02,2.488605103356165138e-01,8.628686487386667825e-02,2.084620982999557670e-01
7.399999999999999634e-02,1.908257620527760989e-01,1.695757919115994591e-02,1.755613722892975237e-01
7.499999999999999722e-02,1.463987636708091178e-01,-2.642664186386354391e-02,1.615368208997751409e-01
7.599999999999999811e-02,8.797017561568676314e-02,-7.540307850013826252e-02,1.243087845124787316e-01
7.699999999999999900e-02,5.433667102826676698e-02,-1.181044546820609886e-01,1.192431177769740502e-01
7.799999999999999989e-02,-1.745325971429914982e-02,-1.350962178629623311e-01,7.212665842500404212e-02
7.900000000000000078e-02,-7.227342081441402721e-02,-2.139318231403101178e-01,7.865360830910957113e-02
8.000000000000000167e-02,-1.431642262001518173e-01,-2.236914303028597062e-01,6.281124228368705799e-03
8.100000000000000255e-02,-1.958671094867430185e-01,-2.295685769419497091e-01,-2.653296306865575438e-02
8.200000000000000344e-02,-2.403161095452149287e-01,-2.721458049126766476e-01,-4.747475784105292113e-02
8.300000000000000433e-02,-2.673257639012271980e-01,-3.074369555062284598e-01,-8.422931411512153688e-02
8.400000000000000522e-02,-3.164353629820692571e-01,-2.768966756055043499e-01,-1.184712545789760041e-01
8.500000000000000611e-02,-3.014608717938795923e-01,-2.815414101665703051e-01,-1.414815048742131820e-01
8.599999999999999312e-02,-3.452370638877820253e-01,-2.861994250172191778e-01,-1.605674377305002232e-01
8.699999999999999400e-02,-3.638182037158681492e-01,-2.784419382987790015e-01,-1.954689205152224385e-01
8.799999999999999489e-02,-3.782692935322273242e-01,-2.680103232904391675e-01,-1.894600498594572469e-01
8.899999999999999578e-02,-3.512590264416146080e-01,-2.188006831545632747e-01,-2.159832402710594179e-01
8.999999999999999667e-02,-3.385216055590696826e-01,-1.727225692259322098e-01,-2.164889470210365485e-01
9.099999999999999756e-02,-2.956393872807696055e-01,-1.473147774317246916e-01,-2.174704246927575690e-01
9.199999999999999845e-02,-2.831003033504409516e-01,-1.026934960648396011e-01,-2.141704420520699759e-01
9.299999999999999933e-02,-2.334488583360742053e-01,-5.320615148894924235e-02,-2.232074931751638347e-01
9.400000000000000022e-02,-1.632799259688016147e-01,-2.236232753025066064e-02,-1.666379371665216991e-01
9.500000000000000111e-02,-1.221277679628748197e-01,3.884631108322281201e-02,-1.647003906264835893e-01
9.600000000000000200e-02,-8.419436494885612632e-02,7.150350961230352020e-02,-1.332076488016086524e-01
9.700000000000000289e-02,4.714508098024234087e-04,1.421223907607620240e-01,-1.165142673638909082e-01
9.800000000000000377e-02,3.652496824532042163e-02,1.429275246412436973e-01,-7.348971555792806198e-02
9.900000000000000466e-02,9.823398335233395062e-02,2.098913372061392557e-01,-5.995171136949842272e-02
1.000000000000000056e-01,1.587754825894762134e-01,2.283237660358990173e-01,-1.501806389614015504e-02
1.010000000000000064e-01,2.051631039792448097e-01,2.424403085202344321e-01,6.806748132977455401e-02
1.019999999999999934e-01,2.570695148354520398e-01,2.955832254138357484e-01,7.668481394346586544e-02
